seed,family,optimizer,rule,reference,population_nmse,accuracy,balanced_accuracy
2026212,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026212,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.5803674204583003,0.875,0.7916666666666666
2026212,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026212,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.43130880029766927,0.921875,0.8854166666666667
2026212,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026212,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.6914498495761154,0.8125,0.6666666666666667
2026212,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026212,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.4311108948364506,0.921875,0.8854166666666667
2026212,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026212,nested,adam,broadcast,uniform_random_candidate_expectation,0.11517135090386535,0.984375,0.975
2026212,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026212,nested,adam,exact,uniform_random_candidate_expectation,0.10639645147385052,0.984375,0.975
2026212,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026212,nested,sgd,broadcast,uniform_random_candidate_expectation,0.11194106219978378,0.984375,0.975
2026212,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026212,nested,sgd,exact,uniform_random_candidate_expectation,0.10586500245123115,0.96875,0.9636363636363636
2026212,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026212,or4,adam,broadcast,uniform_random_candidate_expectation,0.0017289500899028002,1.0,1.0
2026212,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026212,or4,adam,exact,uniform_random_candidate_expectation,0.0003754871873137,1.0,1.0
2026212,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026212,or4,sgd,broadcast,uniform_random_candidate_expectation,0.0010601421595850498,1.0,1.0
2026212,or4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026212,or4,sgd,exact,uniform_random_candidate_expectation,0.00033991498497455003,1.0,1.0
2026212,or_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026212,or_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.2254883707123937,0.9375,0.9365079365079365
2026212,or_of_ands,adam,exact,constant_mean_predictor,1.0,0.5625,0.5
2026212,or_of_ands,adam,exact,uniform_random_candidate_expectation,0.22363209959206318,0.90625,0.9087301587301587
2026212,or_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.5625,0.5
2026212,or_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.22507436367834116,0.9375,0.9365079365079365
2026212,or_of_ands,sgd,exact,constant_mean_predictor,1.0,0.5625,0.5
2026212,or_of_ands,sgd,exact,uniform_random_candidate_expectation,0.2226260104386223,0.90625,0.9087301587301587
2026212,parity4,adam,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026212,parity4,adam,broadcast,uniform_random_candidate_expectation,1.0064105350654713,0.53125,0.53125
2026212,parity4,adam,exact,constant_mean_predictor,1.0,0.5,0.5
2026212,parity4,adam,exact,uniform_random_candidate_expectation,0.0005417220955626499,1.0,1.0
2026212,parity4,sgd,broadcast,constant_mean_predictor,1.0,0.5,0.5
2026212,parity4,sgd,broadcast,uniform_random_candidate_expectation,1.0105343018977837,0.515625,0.515625
2026212,parity4,sgd,exact,constant_mean_predictor,1.0,0.5,0.5
2026212,parity4,sgd,exact,uniform_random_candidate_expectation,0.00071899043951295,1.0,1.0
2026212,xor_of_ands,adam,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026212,xor_of_ands,adam,broadcast,uniform_random_candidate_expectation,0.40748479090634254,0.890625,0.9125000000000001
2026212,xor_of_ands,adam,exact,constant_mean_predictor,1.0,0.625,0.5
2026212,xor_of_ands,adam,exact,uniform_random_candidate_expectation,0.3890463232133463,0.859375,0.8625
2026212,xor_of_ands,sgd,broadcast,constant_mean_predictor,1.0,0.625,0.5
2026212,xor_of_ands,sgd,broadcast,uniform_random_candidate_expectation,0.40052227494912745,0.890625,0.9125000000000001
2026212,xor_of_ands,sgd,exact,constant_mean_predictor,1.0,0.625,0.5
2026212,xor_of_ands,sgd,exact,uniform_random_candidate_expectation,0.38864611794054044,0.859375,0.8625
2026213,and4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026213,and4,adam,broadcast,uniform_random_candidate_expectation,0.006292846710559575,1.0,1.0
2026213,and4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026213,and4,adam,exact,uniform_random_candidate_expectation,0.00070723568235805,1.0,1.0
2026213,and4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026213,and4,sgd,broadcast,uniform_random_candidate_expectation,0.0034505034217153247,1.0,1.0
2026213,and4,sgd,exact,constant_mean_predictor,1.0,0.9375,0.5
2026213,and4,sgd,exact,uniform_random_candidate_expectation,0.0005774608043665501,1.0,1.0
2026213,and_of_xors,adam,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026213,and_of_xors,adam,broadcast,uniform_random_candidate_expectation,0.641752402439201,0.8125,0.6666666666666666
2026213,and_of_xors,adam,exact,constant_mean_predictor,1.0,0.75,0.5
2026213,and_of_xors,adam,exact,uniform_random_candidate_expectation,0.4286083608557324,0.90625,0.8125
2026213,and_of_xors,sgd,broadcast,constant_mean_predictor,1.0,0.75,0.5
2026213,and_of_xors,sgd,broadcast,uniform_random_candidate_expectation,0.6032237592080616,0.796875,0.6354166666666667
2026213,and_of_xors,sgd,exact,constant_mean_predictor,1.0,0.75,0.5
2026213,and_of_xors,sgd,exact,uniform_random_candidate_expectation,0.42942492963098877,0.90625,0.8125
2026213,nested,adam,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026213,nested,adam,broadcast,uniform_random_candidate_expectation,0.11360014252563407,0.984375,0.975
2026213,nested,adam,exact,constant_mean_predictor,1.0,0.6875,0.5
2026213,nested,adam,exact,uniform_random_candidate_expectation,0.1061396476924383,0.984375,0.975
2026213,nested,sgd,broadcast,constant_mean_predictor,1.0,0.6875,0.5
2026213,nested,sgd,broadcast,uniform_random_candidate_expectation,0.1091445897820166,0.984375,0.975
2026213,nested,sgd,exact,constant_mean_predictor,1.0,0.6875,0.5
2026213,nested,sgd,exact,uniform_random_candidate_expectation,0.10613524548312264,0.984375,0.975
2026213,or4,adam,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026213,or4,adam,broadcast,uniform_random_candidate_expectation,0.006944794122901426,1.0,1.0
2026213,or4,adam,exact,constant_mean_predictor,1.0,0.9375,0.5
2026213,or4,adam,exact,uniform_random_candidate_expectation,0.00099398821153515,1.0,1.0
2026213,or4,sgd,broadcast,constant_mean_predictor,1.0,0.9375,0.5
2026213,or4,sgd,broadcast,uniform_random_candidate_expectation,0.003056153516129175,1.0,1.0
