seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,state,gradient_cosine,exact_gradient_norm,delivered_gradient_norm,gradient_relative_error,path_capture
15410,1,02_13,True,fresh,300,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9699120481247108,0.0143498652161262,0.0143028668570444,0.2449276296368602,0.9632540358851276
15410,1,02_13,True,fresh,300,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.9328115376905182,0.0143498652161262,0.0135381618297338,0.3605211342978605,0.9119093646875424
15410,1,02_13,False,fresh,300,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.0204104308548425,0.0204104308548425,0.0,1.0
15410,1,02_13,False,fresh,300,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.9175013104525278,0.0204104308548425,0.020362662940052,0.4057298385208343,0.8604404761211311
15410,1,02_13,False,fresh,300,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.9483827246233448,0.0204104308548425,0.0208622435003241,0.3255914715861168,0.9595382039955376
15410,1,02_13,False,fresh,300,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9179822027545972,0.0204104308548425,0.0190227904896682,0.3968696809319996,0.8679287316092921
15410,1,02_13,False,fresh,300,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0,0.0244759428772798,0.0244759428772798,0.0,1.0
15410,1,02_13,False,fresh,300,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.973355869142149,0.0244759428772798,0.0231453176815062,0.2309692126939675,0.954066724582284
15410,1,02_13,False,fresh,300,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9735398993243984,0.0244759428772798,0.0231203838432691,0.2303402204892509,0.9780464377058872
15410,1,02_13,False,fresh,300,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.9740411657433412,0.0244759428772798,0.0227368183949197,0.230819022925618,0.9560160058472972
15410,1,02_13,True,fresh,300,adam,0.01,1,02_13,exact_path,0,common_exact_state,1.0,0.0119620049862716,0.0119620049862716,0.0,1.0
15410,1,02_13,True,fresh,300,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9481883245978951,0.0119620049862716,0.0117729020934046,0.3197422719674856,0.9102767457911372
15410,1,02_13,True,fresh,300,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9758268227780166,0.0119620049862716,0.012044428492123,0.2207418410913741,0.964372747624523
15410,1,02_13,True,fresh,300,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.9506192620726815,0.0119620049862716,0.01146134126859,0.3104507414372154,0.9137483021878476
15410,1,02_13,False,fresh,300,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.0242627544553374,0.0242627544553374,0.0,1.0
15410,1,02_13,False,fresh,300,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9050459820392542,0.0242627544553374,0.0243488895024717,0.4365716783889052,0.8723009602133582
15410,1,02_13,False,fresh,300,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.950904893058355,0.0242627544553374,0.0252162047475814,0.321858704764854,0.959554305519948
15410,1,02_13,False,fresh,300,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.9049006798186162,0.0242627544553374,0.0225120512024049,0.4262407250763192,0.8784031890494933
15410,1,02_13,False,fresh,1000,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0,0.0214897515409788,0.0214897515409788,0.0,1.0
15410,1,02_13,False,fresh,1000,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9650559982613052,0.0214897515409788,0.0234428445990522,0.290688532008056,0.9639893333981894
15410,1,02_13,False,fresh,1000,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9797764227522164,0.0214897515409788,0.0212685445233286,0.2003416226455603,0.9772673721883915
15410,1,02_13,False,fresh,1000,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9671566069674103,0.0214897515409788,0.0218140604793503,0.2586616231669723,0.9675595430652012
15410,1,02_13,True,fresh,1000,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0000000000000002,0.0035668444535938,0.0035668444535938,0.0,1.0
