model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
107,1,0.731941319695,0.2744140625,-0.9315701731,52007,256,1,4,mismatched_encoder,0.255859375,0.3720703125,0
0,10,0.499854875256,0.8056640625,0.933752271547,52007,16,0,0,oracle_context,1,0,0
1,10,0.499854875256,0.8056640625,0.933752271547,52007,16,0,0,learned_local_cue,1,0,0
2,10,2.33550398646,0.1953125,-0.98076414293,52007,16,0,0,frozen_profile,0.25,0.1875,0
3,10,2.09797218793,0.2001953125,-0.974411567666,52007,16,0,0,mismatched_encoder,0,0.5,0
4,10,0.499854875256,0.8056640625,0.933752271547,52007,16,0,1,oracle_context,1,0,0
5,10,1.29910312977,0.20263671875,-0.956461291411,52007,16,0,1,learned_local_cue,0.25634765625,0.371826171875,0
6,10,2.33550398646,0.1953125,-0.98076414293,52007,16,0,1,frozen_profile,0.25,0.1875,0
7,10,1.32800380905,0.208984375,-0.942533608559,52007,16,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
8,10,0.499854875256,0.8056640625,0.933752271547,52007,16,0,4,oracle_context,1,0,0
9,10,1.28397030982,0.20654296875,-0.943356455149,52007,16,0,4,learned_local_cue,0.255859375,0.3720703125,0
10,10,2.33550398646,0.1953125,-0.98076414293,52007,16,0,4,frozen_profile,0.25,0.1875,0
11,10,1.31082998544,0.20361328125,-0.954048093405,52007,16,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
12,10,0.499854875256,0.8056640625,0.933752271547,52007,64,0,0,oracle_context,1,0,0
13,10,0.499854875256,0.8056640625,0.933752271547,52007,64,0,0,learned_local_cue,1,0,0
14,10,2.33550398646,0.1953125,-0.98076414293,52007,64,0,0,frozen_profile,0.25,0.1875,0
15,10,2.09797218793,0.2001953125,-0.974411567666,52007,64,0,0,mismatched_encoder,0,0.5,0
16,10,0.499854875256,0.8056640625,0.933752271547,52007,64,0,1,oracle_context,1,0,0
17,10,1.29910312977,0.20263671875,-0.956461291411,52007,64,0,1,learned_local_cue,0.25634765625,0.371826171875,0
18,10,2.33550398646,0.1953125,-0.98076414293,52007,64,0,1,frozen_profile,0.25,0.1875,0
19,10,1.32800380905,0.208984375,-0.942533608559,52007,64,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
20,10,0.499854875256,0.8056640625,0.933752271547,52007,64,0,4,oracle_context,1,0,0
21,10,1.28397030982,0.20654296875,-0.943356455149,52007,64,0,4,learned_local_cue,0.255859375,0.3720703125,0
22,10,2.33550398646,0.1953125,-0.98076414293,52007,64,0,4,frozen_profile,0.25,0.1875,0
23,10,1.31082998544,0.20361328125,-0.954048093405,52007,64,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
24,10,0.499854875256,0.8056640625,0.933752271547,52007,256,0,0,oracle_context,1,0,0
25,10,0.499854875256,0.8056640625,0.933752271547,52007,256,0,0,learned_local_cue,1,0,0
26,10,2.33550398646,0.1953125,-0.98076414293,52007,256,0,0,frozen_profile,0.25,0.1875,0
27,10,2.09797218793,0.2001953125,-0.974411567666,52007,256,0,0,mismatched_encoder,0,0.5,0
28,10,0.499854875256,0.8056640625,0.933752271547,52007,256,0,1,oracle_context,1,0,0
29,10,1.29910312977,0.20263671875,-0.956461291411,52007,256,0,1,learned_local_cue,0.25634765625,0.371826171875,0
30,10,2.33550398646,0.1953125,-0.98076414293,52007,256,0,1,frozen_profile,0.25,0.1875,0
31,10,1.32800380905,0.208984375,-0.942533608559,52007,256,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
32,10,0.499854875256,0.8056640625,0.933752271547,52007,256,0,4,oracle_context,1,0,0
33,10,1.28397030982,0.20654296875,-0.943356455149,52007,256,0,4,learned_local_cue,0.255859375,0.3720703125,0
34,10,2.33550398646,0.1953125,-0.98076414293,52007,256,0,4,frozen_profile,0.25,0.1875,0
35,10,1.31082998544,0.20361328125,-0.954048093405,52007,256,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
