root_id,channels,method,capture,wiring_nonzeros,control_sd
864691135277186789,8,row-shuffled paths,0.2185904105694586,,0.02157815620358006
864691135277186789,8,degree-depth surrogate tree,0.28148843757113806,,0.02445680133744712
864691135277186789,8,depth bins,0.3929937181682003,,
864691135277186789,16,dense SVD oracle,0.6725483776602506,,
864691135277186789,16,morphology paths,0.4931818601357002,130.0,
864691135277186789,16,random real paths,0.39689943630093466,,0.0751614247112542
864691135277186789,16,row-shuffled paths,0.3403872484984722,,0.02623867096558544
864691135277186789,16,degree-depth surrogate tree,0.42712735421625214,,0.025155147672779286
864691135277186789,16,depth bins,0.45807603739669306,,
864691135324623260,1,dense SVD oracle,0.3233649707479597,,
864691135324623260,1,morphology paths,0.23249466602994356,3.0,
864691135324623260,1,random real paths,0.05304926934508833,,0.05429358847738097
864691135324623260,1,row-shuffled paths,0.055037214949329755,,0.028864410865467028
864691135324623260,1,degree-depth surrogate tree,0.19947587908669726,,0.03145916248130128
864691135324623260,1,depth bins,0.286332650337656,,
864691135324623260,2,dense SVD oracle,0.4805092690253626,,
864691135324623260,2,morphology paths,0.3113390074175422,4.0,
864691135324623260,2,random real paths,0.12606027381644103,,0.08300832448349516
864691135324623260,2,row-shuffled paths,0.07486066283319223,,0.037056947727993055
864691135324623260,2,degree-depth surrogate tree,0.2880340838395393,,0.012139131099648088
864691135324623260,2,depth bins,0.30762113328479446,,
864691135324623260,4,dense SVD oracle,0.5952256457887936,,
864691135324623260,4,morphology paths,0.3753777392854839,6.0,
864691135324623260,4,random real paths,0.2354866808449164,,0.09494096083238858
864691135324623260,4,row-shuffled paths,0.13897392654261073,,0.05700163871347172
864691135324623260,4,degree-depth surrogate tree,0.39764835629005174,,0.014486431739053012
864691135324623260,4,depth bins,0.3713391340490721,,
864691135324623260,8,dense SVD oracle,0.745847452947348,,
864691135324623260,8,morphology paths,0.5218825172388768,14.0,
864691135324623260,8,random real paths,0.4294526463334812,,0.08982055452938205
864691135324623260,8,row-shuffled paths,0.27769162830866484,,0.0731402763361886
864691135324623260,8,degree-depth surrogate tree,0.5408931400199903,,0.013624274861016425
864691135324623260,8,depth bins,0.49385003024474544,,
864691135324623260,16,dense SVD oracle,0.9284484675304302,,
864691135324623260,16,morphology paths,0.8181331833444748,24.0,
864691135324623260,16,random real paths,0.6865335513852403,,0.0682520820964974
864691135324623260,16,row-shuffled paths,0.44814286691371763,,0.08596179166090553
864691135324623260,16,degree-depth surrogate tree,0.7824800219235268,,0.027315544090159658
864691135324623260,16,depth bins,0.6941003281163093,,
864691135409937097,1,dense SVD oracle,0.27476584414334065,,
864691135409937097,1,morphology paths,0.043279878347946145,1.0,
864691135409937097,1,random real paths,0.041144133228740574,,0.0459980652133006
864691135409937097,1,row-shuffled paths,0.013859533333979301,,0.014670569603015826
864691135409937097,1,degree-depth surrogate tree,0.11518609614590389,,0.04423921845002569
864691135409937097,1,depth bins,0.2674453677271948,,
