group,run_name,run_dir,seed,strategy,network_type,router_mode,variant,display_label,train_accuracy,valid_accuracy,test_accuracy,router_mean_max_assignment,router_assignment_entropy
cue_hard_learned_shunting_localca_freeze20,cue_hard_learned_shunting_localca_freeze20_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_29,46,local_ca,dendritic_shunting,learned,freeze20,"Learned
Shunting
freeze-20",0.9812500476837158,0.9920000433921814,0.9920000433921814,0.9999070763587952,0.0008751176064833999
cue_hard_fixed_additive_localca,cue_hard_fixed_additive_localca_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_3,45,local_ca,dendritic_additive,fixed,baseline,"Fixed
Additive",0.9930000305175781,0.9930000305175781,0.9920000433921814,,
cue_hard_learned_shunting_localca_pathway_vector,cue_hard_learned_shunting_localca_pathway_vector_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_30,42,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",0.9911250472068787,0.9950000643730164,0.9900000691413879,0.9819934964179993,0.07154414057731628
cue_hard_learned_shunting_localca_pathway_vector,cue_hard_learned_shunting_localca_pathway_vector_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_31,43,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",0.9931250214576721,0.9950000643730164,0.9860000610351562,0.9999892115592957,0.00012732480536215007
cue_hard_learned_shunting_localca_pathway_vector,cue_hard_learned_shunting_localca_pathway_vector_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_32,44,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",0.9922500252723694,0.9900000691413879,0.9880000352859497,0.9885450005531311,0.049286212772130966
cue_hard_learned_shunting_localca_pathway_vector,cue_hard_learned_shunting_localca_pathway_vector_s45,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_33,45,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",0.7190000414848328,0.7040000557899475,0.7430000305175781,0.9999824166297913,0.00019610034360084683
cue_hard_learned_shunting_localca_pathway_vector,cue_hard_learned_shunting_localca_pathway_vector_s46,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_34,46,local_ca,dendritic_shunting,learned,pathway_vector_hierarchical,"Learned
Shunting
pathway-vector",0.9913750290870667,0.9940000176429749,0.9950000643730164,0.9960882663726807,0.021234458312392235
cue_hard_learned_additive_standard,cue_hard_learned_additive_standard_s42,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_35,42,standard,dendritic_additive,learned,baseline,"Learned
Additive
BP",0.9916250705718994,0.9960000514984131,0.9920000433921814,0.9999963045120239,4.464476660359651e-05
cue_hard_learned_additive_standard,cue_hard_learned_additive_standard_s43,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_36,43,standard,dendritic_additive,learned,baseline,"Learned
Additive
BP",0.9941250681877136,0.9950000643730164,0.9850000739097595,0.9999988675117493,1.691519901214633e-05
cue_hard_learned_additive_standard,cue_hard_learned_additive_standard_s44,/n/holylfs06/LABS/kempner_project_b/Lab/dendritic/HS/LOCAL_LEARNING/sweep_runs/sweep_neurips_cue_routing_seed_repeats_20260306232402/results/config_37,44,standard,dendritic_additive,learned,baseline,"Learned
Additive
BP",0.9925000667572021,0.9910000562667847,0.9900000691413879,0.9999987483024597,1.9297192920930684e-05
