cohort,architecture,seed,checkpoint,checkpoint_sha256,forward_max_difference,coordinate,basis,n_fields,mean_capture,ensemble_energy_capture,panel
fresh,shunting,50301,trained,748773e0b1465dbc8b89f6b6c1ebcacb8d4590b40280b14354c1480c012b50dd,0.0,activation,subtrees_k3,262144,0.6573405067019331,0.8026354333545401,G
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,broadcast_k1,262144,0.5322902716219271,0.5322336844304939,G
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50302,initial,ce659099b5fb1d124f83aed7a7755d4742269c1e34b6b7dbc079b5b5da7e63eb,0.0,activation,subtrees_k3,262144,0.5323820372371653,0.5323273450333765,G
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,broadcast_k1,262144,0.6236052664869145,0.7366872186804816,G
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50302,trained,01ea5ce4a8ec412fdbb07981efb1b6341eb4f9c9dc3152e95b36a04acb489fe1,0.0,activation,subtrees_k3,262144,0.6590123271289583,0.7965053760250782,G
fresh,shunting,50303,initial,a4cd9015f1260765c6676da104ab40aad65dc187c8cc18f6098ba24b45e075d6,0.0,activation,broadcast_k1,262144,0.5319834043613242,0.5318088341937393,G
fresh,shunting,50303,initial,a4cd9015f1260765c6676da104ab40aad65dc187c8cc18f6098ba24b45e075d6,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50303,initial,a4cd9015f1260765c6676da104ab40aad65dc187c8cc18f6098ba24b45e075d6,0.0,activation,subtrees_k3,262144,0.5320750205251109,0.5318990493447873,G
fresh,shunting,50303,trained,18f2bfe88efc3d819075e4b6fd3894258421a4d359c0fdaf43f4fe89fcbb3107,0.0,activation,broadcast_k1,262144,0.622356995072868,0.751230251686323,G
fresh,shunting,50303,trained,18f2bfe88efc3d819075e4b6fd3894258421a4d359c0fdaf43f4fe89fcbb3107,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50303,trained,18f2bfe88efc3d819075e4b6fd3894258421a4d359c0fdaf43f4fe89fcbb3107,0.0,activation,subtrees_k3,262144,0.6534374962213176,0.8041789723227357,G
fresh,shunting,50304,initial,b5767469df215148599e93d7b8e60b61de0cfd2fd5405fbc4e6ddfd6c27924c2,0.0,activation,broadcast_k1,262144,0.5330594931482603,0.5334313301046164,G
fresh,shunting,50304,initial,b5767469df215148599e93d7b8e60b61de0cfd2fd5405fbc4e6ddfd6c27924c2,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50304,initial,b5767469df215148599e93d7b8e60b61de0cfd2fd5405fbc4e6ddfd6c27924c2,0.0,activation,subtrees_k3,262144,0.5331505372744659,0.5335229615309631,G
fresh,shunting,50304,trained,449bd334866ab281f7ef29bdf2725c58666e87db26bf29159a448b627cce8a4a,0.0,activation,broadcast_k1,262144,0.610581084430429,0.7363575156078026,G
fresh,shunting,50304,trained,449bd334866ab281f7ef29bdf2725c58666e87db26bf29159a448b627cce8a4a,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50304,trained,449bd334866ab281f7ef29bdf2725c58666e87db26bf29159a448b627cce8a4a,0.0,activation,subtrees_k3,262144,0.6438419957686466,0.804587429137354,G
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,broadcast_k1,262144,0.5319832100184461,0.531687887612096,G
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50305,initial,bcb11b5eb17898731293a73c334434726fb938525377f3f71f32977d5ce4ea0d,0.0,activation,subtrees_k3,262144,0.5320778828837532,0.5317837144301685,G
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,broadcast_k1,262144,0.624800362599965,0.7363591573355203,G
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50305,trained,ded68c3503d3411ef2d078a10c14f65deddb250b32cfe627b6c68133b0918e01,0.0,activation,subtrees_k3,262144,0.65669358832473,0.7939889270565531,G
fresh,shunting,50306,initial,da98c345e228a534d2254ab97a2caedf839eafcc9192c86afe3e557f9cbc60be,0.0,activation,broadcast_k1,262144,0.5326806347503168,0.532931627902384,G
fresh,shunting,50306,initial,da98c345e228a534d2254ab97a2caedf839eafcc9192c86afe3e557f9cbc60be,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50306,initial,da98c345e228a534d2254ab97a2caedf839eafcc9192c86afe3e557f9cbc60be,0.0,activation,subtrees_k3,262144,0.5327725552956998,0.5330224232293523,G
fresh,shunting,50306,trained,00831e4e49b30cb8ef2327b19c02462e65ceef8b5513ca6646182a7a785272bb,0.0,activation,broadcast_k1,262144,0.6246349142806531,0.7599048971812465,G
fresh,shunting,50306,trained,00831e4e49b30cb8ef2327b19c02462e65ceef8b5513ca6646182a7a785272bb,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50306,trained,00831e4e49b30cb8ef2327b19c02462e65ceef8b5513ca6646182a7a785272bb,0.0,activation,subtrees_k3,262144,0.6586440548982856,0.8197826542370235,G
fresh,shunting,50307,initial,060af9a142fa502700e03aee079ef95a7d286c4964c025ca7c76a632a9068dd6,0.0,activation,broadcast_k1,262144,0.532442737419132,0.532633392084844,G
fresh,shunting,50307,initial,060af9a142fa502700e03aee079ef95a7d286c4964c025ca7c76a632a9068dd6,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50307,initial,060af9a142fa502700e03aee079ef95a7d286c4964c025ca7c76a632a9068dd6,0.0,activation,subtrees_k3,262144,0.5325349997136883,0.5327263361772299,G
fresh,shunting,50307,trained,34521444c6dbe3bf59dbacfa4cfffdde781ce3d04314aff8f20a03024390a400,0.0,activation,broadcast_k1,262144,0.6231867688833694,0.7548500150718305,G
fresh,shunting,50307,trained,34521444c6dbe3bf59dbacfa4cfffdde781ce3d04314aff8f20a03024390a400,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50307,trained,34521444c6dbe3bf59dbacfa4cfffdde781ce3d04314aff8f20a03024390a400,0.0,activation,subtrees_k3,262144,0.6571584754189873,0.8136396180005515,G
fresh,shunting,50308,initial,823fb5b27c0ddf819c90f595ab9a9bc9bd57cb51e211d9548854c79f1d46917a,0.0,activation,broadcast_k1,262144,0.5319661282738122,0.5321171565375474,G
fresh,shunting,50308,initial,823fb5b27c0ddf819c90f595ab9a9bc9bd57cb51e211d9548854c79f1d46917a,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50308,initial,823fb5b27c0ddf819c90f595ab9a9bc9bd57cb51e211d9548854c79f1d46917a,0.0,activation,subtrees_k3,262144,0.5320554000972502,0.5322075581184065,G
fresh,shunting,50308,trained,e208333e459f570ed95afe9d3958b204ec668b5192fd4a8266a74750bb6269b2,0.0,activation,broadcast_k1,262144,0.6112641753411395,0.7358277131650058,G
fresh,shunting,50308,trained,e208333e459f570ed95afe9d3958b204ec668b5192fd4a8266a74750bb6269b2,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50308,trained,e208333e459f570ed95afe9d3958b204ec668b5192fd4a8266a74750bb6269b2,0.0,activation,subtrees_k3,262144,0.6463452258419267,0.8017932507481743,G
fresh,shunting,50309,initial,43175c7e33291931374e9b6e1709b75be2e7bb3ddac4f2f4ecde9594a9fe8fa0,0.0,activation,broadcast_k1,262144,0.5319007621550398,0.5317901174393567,G
fresh,shunting,50309,initial,43175c7e33291931374e9b6e1709b75be2e7bb3ddac4f2f4ecde9594a9fe8fa0,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50309,initial,43175c7e33291931374e9b6e1709b75be2e7bb3ddac4f2f4ecde9594a9fe8fa0,0.0,activation,subtrees_k3,262144,0.5320000888602642,0.5318896355820378,G
fresh,shunting,50309,trained,d48c3d9443dc328ddd3174abf0355730f9179118155dcbe4f4d003e3768a583c,0.0,activation,broadcast_k1,262144,0.6215746476338506,0.7193084367443331,G
fresh,shunting,50309,trained,d48c3d9443dc328ddd3174abf0355730f9179118155dcbe4f4d003e3768a583c,0.0,activation,exact_k12,262144,1.0,1.0,G
fresh,shunting,50309,trained,d48c3d9443dc328ddd3174abf0355730f9179118155dcbe4f4d003e3768a583c,0.0,activation,subtrees_k3,262144,0.6556725571563911,0.7960500295808935,G
