scan,partner_index,measured_split_half_spearman,clipped_measured_spearman,pearson_signal_fraction,simulated_mean_split_half_spearman,simulated_se,n_simulated,pre_pt_root_id,repeat_reliability
target264871_ses7_scan3_automatic_conservative,3,0.3894756929535805,0.3894756929535805,0.4050369301609699,0.3873251276179572,0.0024227467231682,1000,864691136124832806,0.3894756929535804
target264871_ses7_scan3_automatic_conservative,4,0.043285148609322,0.043285148609322,0.0453242211937941,0.0424062258480034,0.0026565152383643,1000,864691136123905062,0.043285148609322
target264871_ses7_scan3_automatic_conservative,5,0.3573445923381518,0.3573445923381518,0.3720307859060328,0.3579387433805639,0.0023593663837276,1000,864691136954123487,0.3573445923381517
target264888_ses7_scan3_automatic_conservative,0,0.0111254234053718,0.0111254234053718,0.0116504502555219,0.0067322312866752,0.0028126898782918,1000,864691136110073016,0.0111254234053718
target264888_ses7_scan3_automatic_conservative,1,0.2271838175659558,0.2271838175659558,0.2373456774867111,0.2285778350269548,0.0026183962754673,1000,864691136619096795,0.2271838175659558
target264888_ses7_scan3_automatic_conservative,2,0.4925671485139067,0.4925671485139067,0.5101157470644496,0.4920409665569391,0.0021561748682693,1000,864691135861102952,0.4925671485139067
target264888_ses7_scan3_automatic_conservative,3,0.2096083202137302,0.2096083202137302,0.2190609284680188,0.2095556843662039,0.0026294069958058,1000,864691135409939145,0.2096083202137302
target264888_ses7_scan3_automatic_conservative,4,0.2929869758122227,0.2929869758122227,0.3056132324125328,0.2944208768665617,0.002498396821011,1000,864691135699797013,0.2929869758122227
target264888_ses7_scan3_automatic_conservative,5,0.1100520013358141,0.1100520013358141,0.1151824192504861,0.1038747292591002,0.0028065095867818,1000,864691136108611033,0.1100520013358141
target264888_ses7_scan3_automatic_conservative,6,0.1869758122226993,0.1869758122226993,0.1954879883646523,0.1882428987166642,0.002697120685281,1000,864691136210847932,0.1869758122226993
target264888_ses7_scan3_automatic_conservative,7,0.2823052335289346,0.2823052335289346,0.2945539816616487,0.2831165831782835,0.0025200983613651,1000,864691135779161440,0.2823052335289346
target264888_ses7_scan3_automatic_conservative,8,0.3573445923381518,0.3573445923381518,0.3720307859060328,0.3580652688325939,0.0024846344617184,1000,864691136954123487,0.3573445923381517
target264889_ses6_scan6_automatic_conservative,0,0.57044511235151,0.57044511235151,0.5885261492687696,0.56705459663184,0.0020170678585937,1000,864691135842062307,0.5704451123515099
target264889_ses6_scan6_automatic_conservative,1,0.0433185439625972,0.0433185439625972,0.0453591837376943,0.0425500548637946,0.0026841655796258,1000,864691135853222087,0.0433185439625972
target264889_ses6_scan6_automatic_conservative,2,0.3405324173465006,0.3405324173465006,0.3547182013336954,0.3414526453890559,0.0024818485697997,1000,864691135811061708,0.3405324173465006
target264889_ses6_scan6_automatic_conservative,3,0.207981489432756,0.207981489432756,0.2173674858826993,0.2022175325604694,0.0026296779433661,1000,864691135619463567,0.207981489432756
target264889_ses6_scan6_automatic_conservative,4,0.3293545155288392,0.3293545155288392,0.3431922965223879,0.3263928247698106,0.0025203771725228,1000,864691135196576298,0.3293545155288392
target291111_ses6_scan4_automatic_conservative,0,0.3133485997805448,0.3133485997805448,0.3266676967882775,0.3121885215400029,0.002518249526617,1000,864691135941120001,0.3133485997805448
target291111_ses6_scan4_automatic_conservative,1,0.031568150374505,0.031568150374505,0.0330565844921531,0.0319800295787414,0.0026133101614439,1000,864691134887635962,0.031568150374505
target291111_ses6_scan4_automatic_conservative,2,0.317069796288345,0.317069796288345,0.3305115710969357,0.3177828061638281,0.0025030999625606,1000,864691136603811281,0.317069796288345
target291111_ses6_scan4_automatic_conservative,3,0.1271456514479271,0.1271456514479271,0.1330482855509823,0.1274893802776585,0.0027379483062325,1000,864691135774429435,0.127145651447927
target291111_ses6_scan4_automatic_conservative,4,0.1731596774963026,0.1731596774963026,0.1810840561094205,0.1713451934545107,0.0026605885816844,1000,864691136144827444,0.1731596774963026
target291111_ses6_scan4_automatic_conservative,5,0.4383998855016459,0.4383998855016459,0.4550702162805752,0.4411891799055388,0.0023098641585806,1000,864691135572346349,0.4383998855016458
target291111_ses6_scan4_automatic_conservative,6,0.0942369161776632,0.0942369161776632,0.0986446286950795,0.0993420876866561,0.0026956766693096,1000,864691135750642473,0.0942369161776632
target291111_ses6_scan4_automatic_conservative,7,0.2453079528648442,0.2453079528648442,0.2561801369401433,0.2486726682887267,0.0025723260960444,1000,864691135496369296,0.2453079528648442
target291111_ses6_scan4_automatic_conservative,8,0.261251848671342,0.261251848671342,0.2727298903703974,0.2604191784743094,0.0025747733272153,1000,864691135739689073,0.261251848671342
