method,mode,field_match,update_match,update_cosine,static_update_match_replay_error,target_root_id,session,scan_idx,replicate,n_sites,dictionary_channels,exact_heldout_normalized_mse,exact_endpoint_replay_error
site-shuffled routes,trialwise_update_oracle,,0.885795900909,0.941167307608,4.10623424152e-10,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
random anatomical routes,frozen_baseline,0.122780707482,0.173871544484,0.416991013457,3.4317132469e-11,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
random anatomical routes,trialwise_field_projection,0.123578385267,0.175257849861,0.419691229889,3.4317132469e-11,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
random anatomical routes,trialwise_update_oracle,,0.180924445118,0.425352142486,3.4317132469e-11,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
unprojected baseline transfer,frozen_baseline,0.995111620519,0.993800056467,0.997513836825,,864691135810666525,6,4,2,6,4,0.979818947861,6.6771177476e-10
topology-matched routes,frozen_baseline,0.0712436508219,0.0199739011525,0.144227677821,1.28462723098e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
topology-matched routes,trialwise_field_projection,0.0734740954281,0.021142133718,0.145403348373,1.28462723098e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
topology-matched routes,trialwise_update_oracle,,0.021142133718,0.145403348373,1.28462723098e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
site-shuffled routes,frozen_baseline,0.0891964622429,0.0197556048524,0.144958508432,1.32438681549e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
site-shuffled routes,trialwise_field_projection,0.0982436444588,0.0216209624075,0.147040682831,1.32438681549e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
site-shuffled routes,trialwise_update_oracle,,0.0216209624075,0.147040682831,1.32438681549e-10,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
random anatomical routes,frozen_baseline,0.0824929829079,0.0116173998398,0.109493492651,2.25465202064e-11,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
random anatomical routes,trialwise_field_projection,0.0911410125716,0.0128431371706,0.11345075163,2.25465202064e-11,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
random anatomical routes,trialwise_update_oracle,,0.0142990222002,0.119578518975,2.25465202064e-11,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
unprojected baseline transfer,frozen_baseline,0.990308890161,0.996444588502,0.999196801106,,864691135810666525,6,4,3,6,4,0.816037736897,2.07766803761e-10
topology-matched routes,frozen_baseline,0.0745643560901,0.0294660898591,0.176042924651,3.38701289238e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
topology-matched routes,trialwise_field_projection,0.0760989333859,0.0317861553947,0.17828672243,3.38701289238e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
topology-matched routes,trialwise_update_oracle,,0.0317861553947,0.17828672243,3.38701289238e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
site-shuffled routes,frozen_baseline,0.0749075700039,0.135475136048,0.368193544694,6.76625422358e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
site-shuffled routes,trialwise_field_projection,0.0762041708156,0.136899754691,0.369999668501,6.76625422358e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
site-shuffled routes,trialwise_update_oracle,,0.136899754691,0.369999668501,6.76625422358e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
random anatomical routes,frozen_baseline,0.132609768098,0.161650161861,0.402303637661,3.40422134926e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
random anatomical routes,trialwise_field_projection,0.132893658078,0.162616907005,0.403257866638,3.40422134926e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
random anatomical routes,trialwise_update_oracle,,0.162616907005,0.403257866638,3.40422134926e-13,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
unprojected baseline transfer,frozen_baseline,0.991097151456,0.993533709528,0.997676088531,,864691135810666525,6,4,4,6,4,0.831733885044,3.89022147829e-13
topology-matched routes,frozen_baseline,0.0711549112162,0.0346610078688,0.189665466394,3.92928675708e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
topology-matched routes,trialwise_field_projection,0.07309610114,0.0366377935946,0.191410014353,3.92928675708e-11,864691135810666525,6,4,5,6,4,0.803685301362,1.19883103444e-10
