config_id,model_type,ie_synapses,dataset,seed,strategy,broadcast_mode,layer_name,is_shunting,R_tot_mean,R_tot_std,R_tot_median,R_tot_q25,R_tot_q75,R_tot_max,R_tot_min,g_tot_mean,g_tot_std,voltage_mean,voltage_std,sensitivity_exc_mean,sensitivity_exc_std,sensitivity_inh_mean,sensitivity_inh_std
config_39,dendritic_additive,2,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5534583926200867,0.010048148222267628,0.44654160737991333,0.010048148222267628,0.5534583926200867,0.010048148222267628
config_4,dendritic_shunting,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,True,0.729715883731842,0.19082611799240112,0.7342829704284668,0.6150753051042557,0.8710262924432755,1.0,0.03747696056962013,1.6887527704238892,1.8117499351501465,0.3667897582054138,0.24037981033325195,0.49324890971183777,0.27565473318099976,0.23646701872348785,0.11997266113758087
config_4,dendritic_shunting,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,True,0.0200490765273571,0.00107379665132612,0.020327985286712646,0.020160708110779524,0.020481424406170845,0.021310411393642426,0.013443177565932274,50.05012130737305,3.2337522506713867,0.3826207220554352,0.26962020993232727,0.012357737869024277,0.00543447770178318,0.007691339589655399,0.005462631117552519
config_4,dendritic_shunting,2,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,True,0.01998216286301613,0.00012746857828460634,0.020014023408293724,0.019905660767108202,0.020078616216778755,0.02020450122654438,0.019729621708393097,50.04667282104492,0.32012301683425903,0.41376954317092896,0.2702200412750244,0.011712469160556793,0.005396950524300337,0.008269693702459335,0.005402775481343269
config_40,dendritic_additive,5,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.469908744096756,0.05961458757519722,0.5300912857055664,0.05961458757519722,0.469908744096756,0.05961458757519722
config_40,dendritic_additive,5,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5050328969955444,0.070174440741539,0.49496713280677795,0.070174440741539,0.5050328969955444,0.070174440741539
config_40,dendritic_additive,5,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5462610125541687,0.005662099923938513,0.4537389874458313,0.005662099923938513,0.5462610125541687,0.005662099923938513
config_41,dendritic_additive,5,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46374809741973877,0.06480510532855988,0.5362519025802612,0.06480509787797928,0.46374809741973877,0.06480510532855988
config_41,dendritic_additive,5,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5061125159263611,0.06781958788633347,0.4938875138759613,0.06781958788633347,0.5061125159263611,0.06781958788633347
config_41,dendritic_additive,5,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.546155571937561,0.006333425175398588,0.4538443982601166,0.006333425175398588,0.546155571937561,0.006333425175398588
config_42,dendritic_additive,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47761070728302,0.0579155869781971,0.52238929271698,0.0579155869781971,0.47761070728302,0.0579155869781971
config_42,dendritic_additive,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5335438847541809,0.04741045460104942,0.4664561450481415,0.04741045460104942,0.5335438847541809,0.04741045460104942
config_42,dendritic_additive,5,mnist,44,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5504991412162781,0.004036166705191135,0.4495008587837219,0.004036166705191135,0.5504991412162781,0.004036166705191135
config_43,dendritic_additive,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4773913025856018,0.057833895087242126,0.5226086378097534,0.057833895087242126,0.4773913025856018,0.057833895087242126
config_43,dendritic_additive,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5194559693336487,0.06337439268827438,0.4805440306663513,0.06337438523769379,0.5194559693336487,0.06337439268827438
config_43,dendritic_additive,5,mnist,45,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5476824641227722,0.0058713494800031185,0.45231756567955017,0.0058713494800031185,0.5476824641227722,0.0058713494800031185
config_44,dendritic_additive,5,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.47065913677215576,0.059373605996370316,0.5293408632278442,0.059373605996370316,0.47065913677215576,0.059373605996370316
config_44,dendritic_additive,5,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5052769780158997,0.07011454552412033,0.49472299218177795,0.07011454552412033,0.5052769780158997,0.07011454552412033
config_44,dendritic_additive,5,mnist,42,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5499536395072937,0.0063525112345814705,0.4500463604927063,0.0063525112345814705,0.5499536395072937,0.0063525112345814705
config_45,dendritic_additive,5,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.46446311473846436,0.06420793384313583,0.5355368256568909,0.06420793384313583,0.46446311473846436,0.06420793384313583
config_45,dendritic_additive,5,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5064232349395752,0.06864510476589203,0.4935768246650696,0.06864510476589203,0.5064232349395752,0.06864510476589203
config_45,dendritic_additive,5,mnist,43,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5505319833755493,0.006858790758997202,0.44946804642677307,0.006858790758997202,0.5505319833755493,0.006858790758997202
config_46,dendritic_additive,5,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4777539074420929,0.058032721281051636,0.5222461223602295,0.058032721281051636,0.4777539074420929,0.058032721281051636
config_46,dendritic_additive,5,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5337304472923279,0.046967875212430954,0.4662695825099945,0.046967875212430954,0.5337304472923279,0.046967875212430954
config_46,dendritic_additive,5,mnist,44,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5537533164024353,0.0043793898075819016,0.4462466835975647,0.0043793898075819016,0.5537533164024353,0.0043793898075819016
config_47,dendritic_additive,5,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4780336916446686,0.05736873298883438,0.521966278553009,0.05736873298883438,0.4780336916446686,0.05736873298883438
config_47,dendritic_additive,5,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5219705700874329,0.06043587625026703,0.47802940011024475,0.06043587625026703,0.5219705700874329,0.06043587625026703
config_47,dendritic_additive,5,mnist,45,local_ca,per_soma,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5523309707641602,0.006185912527143955,0.44766902923583984,0.006185912527143955,0.5523309707641602,0.006185912527143955
config_48,dendritic_additive,10,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4862222969532013,0.02377762272953987,0.5137777328491211,0.023777620866894722,0.4862222969532013,0.02377762272953987
config_48,dendritic_additive,10,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5205190777778625,0.02984245866537094,0.47948092222213745,0.02984245866537094,0.5205190777778625,0.02984245866537094
config_48,dendritic_additive,10,mnist,42,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5493274927139282,0.0027960368897765875,0.4506724774837494,0.0027960368897765875,0.5493274927139282,0.0027960368897765875
config_49,dendritic_additive,10,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.0,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.48539870977401733,0.02712193690240383,0.5146012902259827,0.02712193690240383,0.48539870977401733,0.02712193690240383
config_49,dendritic_additive,10,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.1,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5247083902359009,0.03166821599006653,0.4752916395664215,0.03166821599006653,0.5247083902359009,0.03166821599006653
config_49,dendritic_additive,10,mnist,43,local_ca,scalar,core_network.layers.0.excitatory_cells.branch_layers.2,False,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5493067502975464,0.0030521033331751823,0.450693279504776,0.003052103566005826,0.5493067502975464,0.0030521033331751823
