seed,task,phase,step,optimizer,rule,rate,selected_rate,common_rate,validation_nmse,test_nmse,gradient_clipped_steps,projected_steps,bound
2111,opposed_strong,bound_sensitivity,4096,sgd,exact,0.3,True,True,0.00028259452723794314,0.0002827032606802126,0,0,7.0
2111,opposed_strong,bound_sensitivity,4096,sgd,unit_broadcast,0.3,True,True,0.7623841174559361,0.7587668922346865,0,0,7.0
2111,opposed_strong,bound_sensitivity,4096,sgd,calibrated_broadcast,0.3,True,True,0.553868271217079,0.5521407544977971,0,0,7.0
2111,opposed_strong,bound_sensitivity,4096,sgd,ancestry_three_oracle,0.3,True,True,0.0002766234274564688,0.00027693896136956795,0,0,7.0
2111,opposed_strong,bound_sensitivity,8192,adam,exact,0.03,True,True,5.791341612246214e-07,5.71165383508717e-07,0,0,7.0
2111,opposed_strong,bound_sensitivity,8192,adam,unit_broadcast,0.03,True,True,1.009152012388471,1.0004982739376334,0,3680,7.0
2111,opposed_strong,bound_sensitivity,8192,adam,calibrated_broadcast,0.03,True,True,1.0091516725845626,1.0004979892512698,0,3680,7.0
2111,opposed_strong,bound_sensitivity,8192,adam,ancestry_three_oracle,0.03,True,True,1.6541983363167814e-05,1.6584668329624762e-05,0,0,7.0
2111,opposed_strong,bound_sensitivity,8192,sgd,exact,0.3,True,True,0.0002513329528181705,0.00025285888552489756,0,0,7.0
2111,opposed_strong,bound_sensitivity,8192,sgd,unit_broadcast,0.3,True,True,0.9058535407040437,0.9051339331091702,0,1215,7.0
2111,opposed_strong,bound_sensitivity,8192,sgd,calibrated_broadcast,0.3,True,True,0.5260019547678171,0.525046745699519,0,1567,7.0
2111,opposed_strong,bound_sensitivity,8192,sgd,ancestry_three_oracle,0.3,True,True,0.00024507711287219804,0.0002467188433199219,0,0,7.0
2111,opposed_strong,bound_sensitivity,12288,adam,exact,0.03,True,True,5.158735684249888e-07,5.113703834874559e-07,0,0,7.0
2111,opposed_strong,bound_sensitivity,12288,adam,unit_broadcast,0.03,True,True,1.00511539966699,1.007790570320808,0,3817,7.0
2111,opposed_strong,bound_sensitivity,12288,adam,calibrated_broadcast,0.03,True,True,1.005115233976464,1.007790313364752,0,3817,7.0
2111,opposed_strong,bound_sensitivity,12288,adam,ancestry_three_oracle,0.03,True,True,1.445646312034083e-07,1.4707237792487956e-07,0,0,7.0
2111,opposed_strong,bound_sensitivity,12288,sgd,exact,0.3,True,True,0.00022617394050713062,0.00022841870514349097,0,0,7.0
2111,opposed_strong,bound_sensitivity,12288,sgd,unit_broadcast,0.3,True,True,1.0482509472188861,1.0451511048251168,0,2000,7.0
