seed,task,phase,optimizer,rule,rate,selected_rate,common_rate,best_step,validation_nmse,test_nmse,path_ancestry_three_oracle_capture,path_rank_one_capture,path_effective_rank,path_unit_oracle_capture,path_calibrated_oracle_capture,credit_ancestry_three_oracle_capture,credit_rank_one_capture,credit_effective_rank,credit_unit_oracle_capture,credit_calibrated_oracle_capture,eligibility_calibrated_oracle_capture,loss_eligibility_calibrated_oracle_capture,bound
2119,aligned_strong,bound_sensitivity,sgd,exact,0.3,True,True,16384,0.00014374834814677502,0.00015380189640695142,0.9481513792015327,0.8882743138420988,1.2476390215965951,0.5433045625414622,0.8125957695263692,0.9486438161088953,0.8965027195578483,1.2278543977707324,0.5413031238711794,0.7939973037200257,0.6777046054739452,0.6285004735290862,20.0
2119,aligned_strong,bound_sensitivity,sgd,unit_broadcast,0.3,True,True,12288,0.0015568823942128432,0.0015991546850940839,0.9570260600506741,0.8887086508605592,1.2465892841803115,0.5436661260045541,0.8186420682383634,0.9568758234522947,0.888380065107238,1.247383379562111,0.5453398243406515,0.8261861311321306,0.6717676040853506,0.6644138240631485,20.0
2119,aligned_strong,bound_sensitivity,sgd,calibrated_broadcast,0.3,True,True,4096,0.0008718241960487653,0.0008880813097125955,0.9598036070958387,0.8893055499133766,1.245147624862458,0.5488279736316735,0.8353883883889545,0.9599739221824966,0.8940355501747502,1.23376362504053,0.5499301869640844,0.824135397207646,0.7059819003131915,0.6753739603460323,20.0
2119,aligned_strong,bound_sensitivity,sgd,ancestry_three_oracle,0.3,True,True,16384,0.00013482905782062204,0.00014439739855582535,0.9520781065689365,0.8867979342519899,1.2512116673052165,0.5433436224064149,0.8187640458877231,0.9524250646890846,0.8936171947131083,1.2347676104935499,0.5423719606648556,0.8028715597656959,0.6799742806425209,0.6395642705147162,20.0
2119,opposed_strong,bound_sensitivity,adam,exact,0.03,True,True,12288,8.274688218395717e-07,7.845482732475776e-07,0.9620882451098649,0.8885081118927891,1.2470738876335847,0.5531191960740618,0.8345568220307586,0.9625188154827299,0.9073377177509375,1.2021426520278184,0.5503312993957942,0.8058666335329533,0.6723007371214547,0.5399791737189334,20.0
2119,opposed_strong,bound_sensitivity,adam,unit_broadcast,0.03,True,True,12288,0.00020976812049824776,0.00021647865128236916,0.9872680558619414,0.852970366129648,1.3347995506068044,0.508636887589173,0.8354294268773687,0.9871746162293312,0.8532589512173238,1.3340737029171608,0.509508194650622,0.8298610902667873,0.5948060385924043,0.5563719832437197,20.0
2119,opposed_strong,bound_sensitivity,adam,calibrated_broadcast,0.03,True,True,12288,0.00020967250495956913,0.00021639051328495635,0.9872515889609164,0.8529739145174052,1.3347906245285261,0.5086394028016062,0.8354142233433058,0.987158479820954,0.8532572906519814,1.334077879000162,0.5095073535924675,0.8298663060945944,0.5947704557888694,0.556442872295239,20.0
2119,opposed_strong,bound_sensitivity,adam,ancestry_three_oracle,0.03,True,True,16384,2.7847406577125035e-07,2.951122136766335e-07,0.9574310441519394,0.8852233148021541,1.25502952370286,0.5426202497275876,0.8260514822166147,0.956974912084729,0.9067760997436022,1.2034656093557163,0.5444121512739865,0.8628865848212395,0.6678322950672715,0.7964547245579664,20.0
2119,opposed_strong,bound_sensitivity,sgd,exact,0.3,True,True,16384,0.0001641323875109389,0.00017659914893772087,0.9593322170339708,0.8725634526783865,1.2859965669412976,0.5288858788860403,0.8175701427854364,0.9595631106290325,0.8826581160886726,1.2612655169939506,0.5287719748988842,0.7990417233167894,0.6113969507445189,0.5633973196811637,20.0
2119,opposed_strong,bound_sensitivity,sgd,unit_broadcast,0.3,True,True,16384,0.04055764893883635,0.03993826622924124,0.9309546100364163,0.8378845879085274,1.3730002449805456,0.4927946145401089,0.7419789930777406,0.931544733700927,0.8435852526553201,1.3585080236020042,0.49286029842713314,0.7321639643034081,0.44487048935323137,0.4215414432258665,20.0
