root_id,n_segments,n_e_segments,n_i_segments,mapping_pass_fraction,credit_kernel_participation_rank,max_topological_depth,wiring_nonzeros,morphology_wiring_density,capture_dense_oracle,capture_depth_bins,capture_morphology_paths,capture_random_paths,capture_shuffled_ancestry,residual_dense_oracle,residual_depth_bins,residual_morphology_paths,residual_random_paths,residual_shuffled_ancestry,morphology_capture_fraction_of_dense,morphology_minus_random_capture,morphology_minus_depth_capture,morphology_minus_shuffled_capture,focal_shunt_localization,matched_additive_localization,shunt_minus_additive,n_focal_sites,shunt_depth_shuffled_localization,shunt_topology_minus_depth_shuffle,nucleus_id,source_root_id,cell_type
864691136066506392,39,22,30,0.9877887788778876,8.682280682095831,4,10.0,0.056818181818181816,0.7869558409404881,0.4398498229976922,0.7347566774509448,0.42119152293499756,0.3427584068736344,0.46151438490231894,0.7484187288988172,0.5149399837235424,0.760736128962755,0.8106461804840557,0.9336695138736625,0.3135651545159472,0.29490685445325254,0.39199827057731035,0.0159326573244664,0.0012078812869401,0.0147247760375263,2.0,-3.918306651362613e-16,0.015932657324466793,260673,864691136927514442,L4IT
864691136066697624,81,38,50,0.978364779874214,9.618432536984804,10,20.0,0.06578947368421052,0.8137767462795787,0.26347117577791745,0.7893379667067404,0.34406491729982147,0.2624381226310218,0.4315034985506191,0.858206130427584,0.4589405279890274,0.8098622271484089,0.858802068192454,0.9699686926610186,0.4452730494069189,0.5258667909288229,0.5268998440757187,0.248199948549753,0.04506203231689292,0.20313791623286007,11.0,0.021420583367605273,0.2267793651821477,262925,864691135719900721,L4IT
864691136066733720,94,23,50,0.9879248658318426,9.557407114631983,10,11.0,0.059782608695652176,0.8348403946614058,0.4206034753378948,0.770352377010852,0.2707585524577298,0.33615075512001213,0.4063151109281563,0.7611705829681892,0.47915936246785557,0.8539207078247643,0.8147281840419888,0.9227540760330496,0.49959382455312223,0.3497489016729572,0.4342016218908399,0.09909775749877264,0.00481091387349515,0.09428684362527749,2.0,0.09844681011027019,0.0006509473885024514,255156,864691135325071004,L2IT
864691136100511093,122,28,67,0.9803921568627452,6.143520741648584,10,18.0,0.08035714285714286,0.8698976682628861,0.5083626395064107,0.809992449469872,0.2509364260306105,0.3751651566592669,0.36061547511665026,0.7011488921114447,0.435834762953767,0.8654037719919321,0.7903946333772346,0.9311353266268206,0.5590560234392615,0.30162980996346134,0.4348272928106051,0.19292273208833,0.02951217603953205,0.16341055604879795,4.0,0.0228201972585313,0.1701025348297987,291175,864691136674749575,L2IT
864691136109892792,50,28,43,0.982150446238844,9.43595574710968,4,42.0,0.1875,0.8367910628536871,0.3069301859237356,0.6282572407461569,0.329634321762866,0.329070870651918,0.4039438884733107,0.8324957494872963,0.6096586993098673,0.8187310707713651,0.819060278394869,0.7507934401254566,0.29862291898329085,0.32132705482242124,0.2991863700942389,0.101952919195062,0.009004628168094851,0.09294829102696717,2.0,1.1145598333150986e-16,0.10195291919506189,228527,864691136109892792,L4IT
864691136137737085,76,21,25,0.9803347280334728,4.467277084843368,9,15.0,0.08928571428571429,0.9612571214308163,0.5094099991974672,0.9450100443810683,0.42122160068057435,0.3889331201833717,0.19677568148462019,0.7003960713896802,0.23440930712226415,0.7605307239811185,0.7815739272296043,0.983098094476986,0.5237884437004939,0.43560004518360107,0.5560769241976966,0.0871239677329939,0.0069646125276035,0.0801593552053904,1.0,,,256459,864691135492613471,L2IT
864691136195348812,306,136,148,0.9916405433646812,9.108329895883609,22,133.0,0.12224264705882353,0.7538897398615946,0.28304535560649347,0.6222921642701185,0.19012267040673606,0.165640590773723,0.4960593654854911,0.8467133795152499,0.6145283996843925,0.8998907953394861,0.9134273200342038,0.8254418801141452,0.43216949386338244,0.339246808663625,0.45665157349639546,0.5117210649769278,0.022234521905466376,0.48948654307146144,16.0,0.07861200249303607,0.43310906248389175,267033,864691135431616048,L5ET
864691136275165965,41,22,31,0.983736059479554,4.076108110793578,6,11.0,0.0625,0.8807407378221269,0.47156785928916883,0.8292638422509266,0.5394627117456586,0.3629344959772761,0.345277231707971,0.7269136154735982,0.4130928037595156,0.6783820324885756,0.7980630079871794,0.9415527256085701,0.289801130505268,0.3576959829617578,0.4663293462736505,0.09141979078337424,0.007894649511668449,0.08352514127170578,6.0,0.0018361235771617243,0.08958366720621251,262910,864691136391027728,L4IT
864691136371808392,52,32,40,0.9864167345829936,11.25747276186232,5,12.0,0.046875,0.7773818132360552,0.36917295022401797,0.7329243060727373,0.3559951388695558,0.2630544511877032,0.4717808825952202,0.7942269268240929,0.5167293311070622,0.8024782039638311,0.8584277509256172,0.9428112332879877,0.3769291672031815,0.3637513558487193,0.4698698548850341,0.07830716016778203,0.013816376307056163,0.06449078386072586,8.0,-0.018977256259711528,0.09728441642749355,228537,864691135477476928,L4IT
864691136389026167,108,23,65,0.9869608826479438,7.882225836554868,10,13.0,0.07065217391304347,0.8797458708674404,0.5415936804778403,0.7832198017854266,0.2595493725896473,0.36871319549313814,0.3467055421428003,0.6770288526622859,0.4655473184309871,0.8604674369611341,0.7944826682151546,0.8902795997361853,0.5236704291957793,0.24162612130758632,0.41450660629228847,0.13015254989017755,0.002136865715822975,0.12801568417435458,4.0,0.005695063313070128,0.12445748657710742,222743,864691135480607430,L2IT
