root_id,channels,method,credit_capture,seed_capture_sd,wiring_nonzeros,wiring_density,n_monte_carlo_streams
864691135082534135,8,dense PCA oracle,0.9584464523859502,0.0024037651719739446,152.0,1.0,20
864691135082534135,8,depth-only bins,0.6292507690794114,0.010265582429162593,19.0,0.125,20
864691135082534135,8,morphology-aware paths,0.9332580742397122,0.003442263497569576,10.0,0.0657894736842105,20
864691135082534135,8,random paths,0.20454327858419527,0.023278016204441258,4.8265625,0.03175370065789469,20
864691135082534135,8,shuffled ancestry,0.3858868549701394,0.03401646630939745,10.0,0.0657894736842105,20
864691135082534135,16,dense PCA oracle,0.9995749005515228,2.5152725014725755e-05,304.0,1.0,20
864691135082534135,16,depth-only bins,0.9887267990706878,0.0007575397662832701,19.0,0.0625,20
864691135082534135,16,morphology-aware paths,0.9775533309853216,0.0012603335166088924,25.0,0.0822368421052631,20
864691135082534135,16,random paths,0.38316130983857855,0.02093288074156189,9.67734375,0.03183336759868415,20
864691135082534135,16,shuffled ancestry,0.7129713443227589,0.01921166870585201,25.0,0.0822368421052631,20
864691135334986985,1,dense PCA oracle,0.1538782380527046,0.007378844719062828,48.0,1.0,20
864691135334986985,1,depth-only bins,0.05134532789652355,0.003408210872468656,48.0,1.0,20
864691135334986985,1,morphology-aware paths,0.15011316237217348,0.007200422278122098,2.0,0.0416666666666666,20
864691135334986985,1,random paths,0.026734342019002134,0.005147307061829933,2.4953125,0.05198567708333329,20
864691135334986985,1,shuffled ancestry,0.02616313061061886,0.004026642593483041,2.0,0.0416666666666666,20
864691135334986985,2,dense PCA oracle,0.24837562023638476,0.006785259095351302,96.0,1.0,20
864691135334986985,2,depth-only bins,0.0875079000558536,0.004677104995341509,48.0,0.5,20
864691135334986985,2,morphology-aware paths,0.22438886887928744,0.007839564377278684,5.0,0.0520833333333333,20
864691135334986985,2,random paths,0.05397791639958342,0.0050645136559589665,5.3734375,0.05597330729166663,20
864691135334986985,2,shuffled ancestry,0.05490112868074133,0.0042898863617391305,5.0,0.0520833333333333,20
864691135334986985,4,dense PCA oracle,0.40702595784834833,0.007903063641338276,192.0,1.0,20
864691135334986985,4,depth-only bins,0.14585804681436298,0.005394017113193418,48.0,0.25,20
864691135334986985,4,morphology-aware paths,0.35557573324522596,0.007373636502203643,12.0,0.0625,20
864691135334986985,4,random paths,0.1087633709704808,0.007543374094906442,10.65,0.05546874999999997,20
864691135334986985,4,shuffled ancestry,0.11161277987784927,0.005161678231594616,12.0,0.0625,20
864691135334986985,8,dense PCA oracle,0.6284421004193195,0.0057989995047092084,384.0,1.0,20
864691135334986985,8,depth-only bins,0.25145850481406595,0.00552591348409732,48.0,0.125,20
864691135334986985,8,morphology-aware paths,0.5169102955481271,0.007485314795716843,18.0,0.046875,20
864691135334986985,8,random paths,0.20762475397620267,0.009341724751764174,21.7234375,0.05657145182291664,20
864691135334986985,8,shuffled ancestry,0.2039676751759553,0.008559129718912832,18.0,0.046875,20
864691135334986985,16,dense PCA oracle,0.8569466727045258,0.0031557356581981117,768.0,1.0,20
864691135334986985,16,depth-only bins,0.4519791332377571,0.006374204863322951,48.0,0.0625,20
864691135334986985,16,morphology-aware paths,0.7396280393595188,0.005186018382982879,32.0,0.0416666666666666,20
864691135334986985,16,random paths,0.3968823540192055,0.012593670229809764,41.42578125,0.053939819335937465,20
864691135334986985,16,shuffled ancestry,0.35132717669154967,0.008924385995727365,32.0,0.0416666666666666,20
864691135342193329,1,dense PCA oracle,0.16536303030814486,0.009068999527393925,20.0,1.0,20
864691135342193329,1,depth-only bins,0.09520367033175445,0.005957716667130538,20.0,1.0,20
864691135342193329,1,morphology-aware paths,0.13496673775199436,0.008755404982727012,1.0,0.05,20
864691135342193329,1,random paths,0.06119668104114795,0.005441533113948833,1.7578125,0.087890625,20
864691135342193329,1,shuffled ancestry,0.051699232023177555,0.005250259966453876,1.0,0.05,20
864691135342193329,2,dense PCA oracle,0.2893337658289971,0.009374138153697677,40.0,1.0,20
864691135342193329,2,depth-only bins,0.16010611618967763,0.006935288618621489,20.0,0.5,20
864691135342193329,2,morphology-aware paths,0.26819661281993723,0.012723639412066697,5.0,0.125,20
864691135342193329,2,random paths,0.12455646843680135,0.006926552877679754,3.60390625,0.09009765625,20
864691135342193329,2,shuffled ancestry,0.12015581027082127,0.006920117893008025,5.0,0.125,20
864691135342193329,4,dense PCA oracle,0.49973231789368205,0.010763362122584743,80.0,1.0,20
864691135342193329,4,depth-only bins,0.29668554742843334,0.00840732716082277,20.0,0.25,20
864691135342193329,4,morphology-aware paths,0.2940331447048643,0.012975798442857116,9.0,0.1125,20
864691135342193329,4,random paths,0.24473200191775368,0.008752804243335795,7.01328125,0.08766601562500001,20
864691135342193329,4,shuffled ancestry,0.23161858669069754,0.008928917252300836,9.0,0.1125,20
864691135342193329,8,dense PCA oracle,0.777158143722821,0.005594399909340313,160.0,1.0,20
864691135342193329,8,depth-only bins,0.5533344213118724,0.007579674610055285,20.0,0.125,20
864691135342193329,8,morphology-aware paths,0.6275773873604129,0.012217046206740082,13.0,0.08125,20
864691135342193329,8,random paths,0.4624192464791858,0.01176386689085595,14.04765625,0.0877978515625,20
864691135342193329,8,shuffled ancestry,0.38950037818102845,0.011323619207776263,13.0,0.08125,20
864691135342193329,16,dense PCA oracle,0.983934665244373,0.0006499791287804871,320.0,1.0,20
864691135342193329,16,depth-only bins,0.8617967305653419,0.005496305324688336,20.0,0.0625,20
