seed,topology,owner,active_contacts,unique_input_features,input_coverage_fraction,repeated_contact_fraction,mean_pairwise_branch_jaccard,feature_degree_cv
42,spatial,32,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,33,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,34,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,35,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,36,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,37,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,38,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,39,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,40,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,41,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,42,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,43,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,44,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,45,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,46,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,47,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,48,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,49,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,50,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,51,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,52,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,53,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,54,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,55,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,56,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,57,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,58,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,59,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,60,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,61,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,62,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,63,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,64,336,336,0.42857142857142855,0.0,0.0,1.1547005383792517
42,spatial,65,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,66,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,67,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,68,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,69,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
42,spatial,70,336,336,0.42857142857142855,0.0,0.0,1.1547005383792515
