target_root_id,session,scan_idx,replicate,median_partner_reliability,target_reliability,n_manual,n_partners
864691135810666525,7,4,9,0.128345693483,0.190550684129,1,11
864691135060651419,5,6,0,0.298384568663,0.359117537569,2,10
864691135060651419,5,6,1,0.303121971012,0.376200888127,2,10
864691135060651419,5,6,2,0.309573534574,0.374166374166,2,10
864691135060651419,5,6,3,0.344419094419,0.34025974026,2,10
864691135060651419,5,6,4,0.324362042472,0.355306446331,2,10
864691135060651419,5,6,5,0.33880321899,0.322453505972,2,10
864691135060651419,5,6,6,0.306899894056,0.361693302978,2,10
864691135060651419,5,6,7,0.310999473499,0.37557037557,2,10
864691135060651419,5,6,8,0.290957353457,0.280098280098,2,10
864691135060651419,5,6,9,0.352206914707,0.389347139347,2,10
864691135060651419,5,7,0,0.26088978589,0.277421902422,2,8
864691135060651419,5,7,1,0.306186381186,0.21840996841,2,8
864691135060651419,5,7,2,0.279592577234,0.228726933444,2,8
864691135060651419,5,7,3,0.227421902422,0.193804843805,2,8
864691135060651419,5,7,4,0.296951192725,0.310372095067,2,8
864691135060651419,5,7,5,0.24880647415,0.212547408344,2,8
864691135060651419,5,7,6,0.24377156964,0.271017961055,2,8
864691135060651419,5,7,7,0.272414187316,0.202492211838,2,8
864691135060651419,5,7,8,0.286540544626,0.189228405169,2,8
864691135060651419,5,7,9,0.248517909068,0.208538647071,2,8
864691135060651419,9,4,0,0.218980049077,0.153195348341,5,13
864691135060651419,9,4,1,0.187749050134,0.195514780836,5,13
864691135060651419,9,4,2,0.192251303625,0.15545255309,5,13
864691135060651419,9,4,3,0.236872586873,0.283836433836,5,13
864691135060651419,9,4,4,0.182463903121,0.193559119037,5,13
864691135060651419,9,4,5,0.311085972851,0.254360145851,5,13
864691135060651419,9,4,6,0.183286636826,0.159215157003,5,13
864691135060651419,9,4,7,0.186220341308,0.134622543545,5,13
864691135060651419,9,4,8,0.195212226405,0.174347992697,5,13
864691135060651419,9,4,9,0.211144422154,0.191731848613,5,13
864691135277186789,4,7,0,0.141306315318,0.343593700877,6,12
864691135277186789,4,7,1,0.179833160343,0.312520662746,6,12
864691135277186789,4,7,2,0.205578896225,0.306715443901,6,12
864691135277186789,4,7,3,0.187182910547,0.329823412349,6,12
864691135277186789,4,7,4,0.184417570197,0.234973589102,6,12
