target_root_id,session,scan_idx,replicate,method,nmse,n_features,n_available
864691135060651419,5,7,1,keep_0.25,0.818345600735,2,8
864691135060651419,5,7,1,keep_0.5,0.753284751125,4,8
864691135060651419,5,7,1,keep_0.75,0.746485684627,6,8
864691135060651419,5,7,1,manual_only,0.966142810361,2,8
864691135060651419,5,7,1,noise_0.25,0.718007503584,8,8
864691135060651419,5,7,1,noise_0.5,0.797026439753,8,8
864691135060651419,5,7,1,noise_1,0.856236493995,8,8
864691135060651419,5,7,1,ols_all,0.688210084104,8,8
864691135060651419,5,7,1,ridge_all,0.693801911439,8,8
864691135060651419,5,7,1,ridge_raw,0.686309818178,8,8
864691135060651419,5,7,1,training_mean,1,0,8
864691135060651419,5,7,1,training_reliability_ge_0,0.693801911439,8,8
864691135060651419,5,7,1,training_reliability_ge_0.1,0.693801911439,8,8
864691135060651419,5,7,1,training_reliability_ge_0.2,0.799516984153,6,8
864691135060651419,5,7,2,keep_0.25,0.965418518949,2,8
864691135060651419,5,7,2,keep_0.5,0.858939950281,4,8
864691135060651419,5,7,2,keep_0.75,0.8347305363,6,8
864691135060651419,5,7,2,manual_only,0.989933428595,2,8
864691135060651419,5,7,2,noise_0.25,0.82614943768,8,8
864691135060651419,5,7,2,noise_0.5,0.842474778464,8,8
864691135060651419,5,7,2,noise_1,0.878633580427,8,8
864691135060651419,5,7,2,ols_all,0.769163959283,8,8
864691135060651419,5,7,2,ridge_all,0.815814934979,8,8
864691135060651419,5,7,2,ridge_raw,0.806160870008,8,8
864691135060651419,5,7,2,training_mean,1,0,8
864691135060651419,5,7,2,training_reliability_ge_0,0.815814934979,8,8
864691135060651419,5,7,2,training_reliability_ge_0.1,0.845054476846,7,8
864691135060651419,5,7,2,training_reliability_ge_0.2,0.845054476846,7,8
864691135060651419,5,7,3,keep_0.25,0.986841518763,2,8
864691135060651419,5,7,3,keep_0.5,0.985761918266,4,8
864691135060651419,5,7,3,keep_0.75,0.970017787893,6,8
864691135060651419,5,7,3,manual_only,0.981784051961,2,8
864691135060651419,5,7,3,noise_0.25,0.952762334694,8,8
864691135060651419,5,7,3,noise_0.5,0.921915230313,8,8
864691135060651419,5,7,3,noise_1,0.950033091669,8,8
864691135060651419,5,7,3,ols_all,0.963332890363,8,8
864691135060651419,5,7,3,ridge_all,0.949505964476,8,8
864691135060651419,5,7,3,ridge_raw,0.936563235928,8,8
864691135060651419,5,7,3,training_mean,1,0,8
864691135060651419,5,7,3,training_reliability_ge_0,0.949505964476,8,8
864691135060651419,5,7,3,training_reliability_ge_0.1,0.95439743716,7,8
864691135060651419,5,7,3,training_reliability_ge_0.2,0.985246457293,6,8
864691135060651419,5,7,4,keep_0.25,0.896087512317,2,8
864691135060651419,5,7,4,keep_0.5,0.809616344989,4,8
864691135060651419,5,7,4,keep_0.75,0.822408902317,6,8
864691135060651419,5,7,4,manual_only,0.937323094158,2,8
864691135060651419,5,7,4,noise_0.25,0.83377184942,8,8
864691135060651419,5,7,4,noise_0.5,0.861843439186,8,8
864691135060651419,5,7,4,noise_1,0.920872171514,8,8
864691135060651419,5,7,4,ols_all,0.820987483729,8,8
864691135060651419,5,7,4,ridge_all,0.812834573852,8,8
864691135060651419,5,7,4,ridge_raw,0.810714571659,8,8
864691135060651419,5,7,4,training_mean,1,0,8
864691135060651419,5,7,4,training_reliability_ge_0,0.812834573852,8,8
864691135060651419,5,7,4,training_reliability_ge_0.1,0.869219241336,7,8
864691135060651419,5,7,4,training_reliability_ge_0.2,0.791181341876,6,8
864691135060651419,5,7,5,keep_0.25,0.942265322817,2,8
864691135060651419,5,7,5,keep_0.5,0.911061410275,4,8
864691135060651419,5,7,5,keep_0.75,0.907190383771,6,8
864691135060651419,5,7,5,manual_only,1.03987209755,2,8
864691135060651419,5,7,5,noise_0.25,0.934601990822,8,8
864691135060651419,5,7,5,noise_0.5,0.991921643066,8,8
864691135060651419,5,7,5,noise_1,1.10144940774,8,8
