target_root_id,session,scan_idx,replicate,train_trial_mask_sha256,test_trial_mask_sha256,train_stimulus_ids_sha256,test_stimulus_ids_sha256,n_train_trials,n_test_trials,inner_identity_disjoint
864691135060651419,5,6,0,2a3e16857375622160620daede4626082df31f443d5a97de9b8bd85586c92d15,520fddf81fb9b94f61a330f7158d53c433276bcd0ad57e102188cbb5cc482ae9,6e3a237eeb12948e05b91f63b42d5aee868ff4aec5c0936b3ebb82ddb0cbae3f,f876ea2317c0a8f1a92ef98a19ef62c48f021240c9ee5d7d4cbef1ea06be20f3,371,93,True
864691135060651419,5,6,1,813dcb422b9dd664036839d954c5067f9ba7921862e5d608464f5240bc0e7406,2975728dacbe8570d5d60a704394f7eefa4c95464beb56c8c5d5107c5bb7fe13,02cc1bc70b85333d936e177a282f3024ffc780ae3cd137443166855079e13534,b050d96bfb9a7fc173a1ea71ea393bc3eb8f163be016f845ed993044c9d84b0f,382,82,True
864691135060651419,5,6,2,47c4d60b3f703b6d94637a501a3ba364bea8d64cf479bec3855d7a403a54fae3,e8738a3a3c454391426a14c31b59269947f02fb3c241b6a94e12aa9594406664,b39aa10bfddec76e20d443abcbd0c4b85358266658e68a2d1bb180c92d2a0898,984b16194feda746830f307d8435bbf63eb3bb8ee7844ea8739088ac259892a4,375,89,True
864691135060651419,5,6,3,301adf5213be249bcc51936c45e77218a27d124a1d5ecf7e87a85258c4570676,798a459e70f12f4cdc6356aa79b960711d4b926ebebb1ca2b53f88a64b8eb0d6,a6aa605145f0a84ae46d8ee69f010f3a4f8ae7005d9e85519eff43bb4becc67b,af25f15519437f430455d9e0092b561e7fb1279beb6cd798cd8381c5c3f14fd8,375,89,True
864691135060651419,5,6,4,4df3df626abbf0f594c15a6088f0b0a58f625fcc8f1dc6ca0d0a13e1f069f311,e8884a976563dca3fc9c104b7cf3cc6ba70d8c62821caf41508c84924a817117,9a4b0eb21b25d221c417c8fda66d8855d595e6db6e33efca2f0c0b38d84c0cd6,ad70c0c0a747e5f246af69f00fced95a4a921dd96cb1d529771755335bd97fbd,362,102,True
864691135060651419,5,6,5,f9224e591ea6f4f90bc43174804997854fc4f363e8f1e573ec90294c1b5761b5,b777623931174f7e762c629759bc6b048997a076757c6aeb5b25f8cc19ebe10a,e1fa1527e7085a37b2c0752bc588db49ba22d62b83d5cd2637f385b8ef729b41,51289f19205f65c03d29e80ad71cb34085646ccce53a2d26bb7eca67fc6e9d1e,381,83,True
864691135060651419,5,6,6,bc3f958a76b1db62aade29ad8c4c66c7d0342be1dd1010797ddf1a44daa70792,268b14bd67d25f498487c79d1ce5c6e881852430e1ee5e8b1758daedc055d28e,6f6e26ec254824d1f82882a54c306dcd5f7b2c7b990ef2e2d27cb5f773c77059,110cf3225cdf0e938c0ba080cd6d1cf52b62dfe2f533ea9b7affe75d06b9b3e7,374,90,True
864691135060651419,5,6,7,615724cad9ff631f0349839b970c3f8be19031f8bd8b0a22a19d3382d147091d,a2b949c22743e4125d44bd738fc56a69f03bad8591095634c971fa19b861c036,c70b7ad0ea1a6171339344c978e926b46931190005fd86c5187bb046a4d32a99,1ee0701301976387c74c55b9c36fb6494f1745e5931315734cc00c5da1c092c2,375,89,True
864691135060651419,5,6,8,1cd85c55bf54569967c41de60a7a4d981ffd8b9310d0888ca6c0e8108774f66d,03c725c809fab7ff6cd4daddc0df146b3a377d7d6c00e18774c82324bc851f82,994097f5b2e7d4f7d311cbc924c1399b031e4e983e289142c631ca62b6c5c54d,ef4a63a1035c71216cfef2f9c409771c22e273059a30444232d86a59bed5da94,375,89,True
864691135060651419,5,6,9,ab9dac0baadac45327c996e3521b74b0c1c3715bb623b7161dc68a2613f6c4e6,13f3a21f0bc9dd6d735968c551f8fb0514c283e4b13a5f7c7f12d2b863d28b9b,41ee726b408e9ae6a1484242d9b34e915f7ae9a7e738dacb12e72691ccbb7369,5995aafa01e1a0eebf07a53a9f8ce4c2c7c03f6ee1b933ac191869638fa6d25e,375,89,True
