target_root_id,session,scan_idx,method,nmse,n_features,n_available
864691135810666525,4,10,manual_only,1,0,9
864691135810666525,4,10,noise_0.25,0.656666525843,9,9
864691135810666525,4,10,noise_0.5,0.687468695338,9,9
864691135810666525,4,10,noise_1,0.774614703451,9,9
864691135810666525,4,10,ols_all,0.648323116364,9,9
864691135810666525,4,10,ridge_all,0.645691874524,9,9
864691135810666525,4,10,ridge_raw,0.730405448626,9,9
864691135810666525,4,10,training_mean,1,0,9
864691135810666525,4,10,training_reliability_ge_0,0.686474375694,8,9
864691135810666525,4,10,training_reliability_ge_0.1,0.722984625757,6.3,9
864691135810666525,4,10,training_reliability_ge_0.2,0.783287248239,4,9
864691135810666525,6,4,archived_exact compartment error,0.867348110042,6,6
864691135810666525,6,4,archived_random anatomical routes,0.900158396334,6,6
864691135810666525,6,4,archived_site-shuffled routes,0.895813429765,6,6
864691135810666525,6,4,archived_topology-matched routes,0.895991443747,6,6
864691135810666525,6,4,keep_0.25,0.935279433779,2,6
864691135810666525,6,4,keep_0.5,0.91724123545,3,6
864691135810666525,6,4,keep_0.75,0.903715738549,4,6
864691135810666525,6,4,manual_only,0.915135599784,2,6
864691135810666525,6,4,noise_0.25,0.892086953585,6,6
864691135810666525,6,4,noise_0.5,0.903279028614,6,6
864691135810666525,6,4,noise_1,0.927361285412,6,6
864691135810666525,6,4,ols_all,0.878620457825,6,6
864691135810666525,6,4,ridge_all,0.887698965561,6,6
864691135810666525,6,4,ridge_raw,0.890022039161,6,6
864691135810666525,6,4,training_mean,1,0,6
864691135810666525,6,4,training_reliability_ge_0,0.897113629645,5.9,6
864691135810666525,6,4,training_reliability_ge_0.1,0.937385544438,4.2,6
864691135810666525,6,4,training_reliability_ge_0.2,0.952490220834,2.5,6
864691135810666525,6,6,archived_exact compartment error,0.614054162167,10,10
864691135810666525,6,6,archived_random anatomical routes,0.747749140803,10,10
864691135810666525,6,6,archived_site-shuffled routes,0.681157044234,10,10
864691135810666525,6,6,archived_topology-matched routes,0.683387680661,10,10
864691135810666525,6,6,keep_0.25,0.841022331472,2,10
864691135810666525,6,6,keep_0.5,0.71569167565,5,10
864691135810666525,6,6,keep_0.75,0.658766477623,8,10
864691135810666525,6,6,manual_only,0.901060028446,4,10
864691135810666525,6,6,noise_0.25,0.637884976016,10,10
864691135810666525,6,6,noise_0.5,0.671879598769,10,10
864691135810666525,6,6,noise_1,0.747135701119,10,10
864691135810666525,6,6,ols_all,0.629771673445,10,10
864691135810666525,6,6,ridge_all,0.629083869719,10,10
864691135810666525,6,6,ridge_raw,0.620925556793,10,10
864691135810666525,6,6,training_mean,1,0,10
864691135810666525,6,6,training_reliability_ge_0,0.631513325111,9.8,10
864691135810666525,6,6,training_reliability_ge_0.1,0.646634189663,7.8,10
864691135810666525,6,6,training_reliability_ge_0.2,0.7439802067,4.2,10
864691135810666525,7,4,archived_exact compartment error,0.401587804963,11,11
864691135810666525,7,4,archived_random anatomical routes,0.549657268092,11,11
864691135810666525,7,4,archived_site-shuffled routes,0.49489594111,11,11
864691135810666525,7,4,archived_topology-matched routes,0.731281742676,11,11
864691135810666525,7,4,keep_0.25,0.480934681003,3,11
864691135810666525,7,4,keep_0.5,0.421886616398,6,11
864691135810666525,7,4,keep_0.75,0.396767586477,8,11
864691135810666525,7,4,manual_only,0.833629620956,1,11
864691135810666525,7,4,noise_0.25,0.386973181491,11,11
864691135810666525,7,4,noise_0.5,0.414027608456,11,11
864691135810666525,7,4,noise_1,0.491749077247,11,11
864691135810666525,7,4,ols_all,0.372419707396,11,11
864691135810666525,7,4,ridge_all,0.37515243518,11,11
864691135810666525,7,4,ridge_raw,0.367641679271,11,11
864691135810666525,7,4,training_mean,1,0,11
864691135810666525,7,4,training_reliability_ge_0,0.369778307683,10.8,11
864691135810666525,7,4,training_reliability_ge_0.1,0.378823871278,8,11
864691135810666525,7,4,training_reliability_ge_0.2,0.526494387262,3.2,11
