dataset,network_type,rule_variant,error_broadcast_mode,decoder_update_mode,dynamics_mode,lr,decoder_lr,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_additive,3f,local_mismatch,backprop,auto,0.003,0.0015,0.4227222204208374,0.09696542830678946,0.4307333330313365,0.0998487562763042,-1.952078143755595,0.20894957484178164
mnist,dendritic_additive,3f,local_mismatch,backprop,auto,0.0015,0.0015,0.4227222204208374,0.09696542830678946,0.4307333330313365,0.0998487562763042,-1.952078143755595,0.20894957484178164
mnist,dendritic_additive,4f,local_mismatch,local,auto,0.003,0.0015,0.4192499915758769,0.08770908299893682,0.42356664935747784,0.08841099287190612,-1.9656766653060913,0.12919948037284662
mnist,dendritic_additive,4f,local_mismatch,local,auto,0.0015,0.0015,0.4192499915758769,0.08770908299893682,0.42356664935747784,0.08841099287190612,-1.9656766653060913,0.12919948037284662
mnist,dendritic_additive,4f,local_mismatch,local,auto,0.0008,0.0015,0.4192499915758769,0.08770908299893682,0.42356664935747784,0.08841099287190612,-1.9656766653060913,0.12919948037284662
mnist,dendritic_additive,5f,local_mismatch,local,auto,0.0008,0.0015,0.4115833292404811,0.14091030757665407,0.416866660118103,0.138888673142933,-1.999119798342387,0.14083156293132887
mnist,dendritic_additive,5f,local_mismatch,local,auto,0.003,0.0015,0.4115833292404811,0.14091030757665407,0.416866660118103,0.138888673142933,-1.999119798342387,0.14083156293132887
mnist,dendritic_additive,5f,local_mismatch,local,auto,0.0015,0.0015,0.4115833292404811,0.14091030757665407,0.416866660118103,0.138888673142933,-1.999119798342387,0.14083156293132887
mnist,dendritic_shunting,5f,local_mismatch,backprop,auto,0.0008,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2995808919270835,0.0013888483348273963
mnist,dendritic_shunting,5f,local_mismatch,backprop,auto,0.0015,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2995808919270835,0.0013888483348273963
mnist,dendritic_shunting,3f,local_mismatch,backprop,auto,0.003,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2997992833455405,0.001015110081692034
mnist,dendritic_shunting,3f,local_mismatch,backprop,auto,0.0008,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2997992833455405,0.001015110081692034
mnist,dendritic_shunting,5f,local_mismatch,backprop,auto,0.003,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2995808919270835,0.0013888483348273963
mnist,dendritic_shunting,3f,local_mismatch,backprop,auto,0.0015,0.0015,0.11088889092206955,0.0020955201757419713,0.11349999904632568,0.0,-2.2997992833455405,0.001015110081692034
mnist,dendritic_shunting,5f,local_mismatch,local,auto,0.003,0.0015,0.10883333534002304,0.00463905525256207,0.10993333160877228,0.0061776492155439944,-2.3003671964009604,0.0009246578975682545
mnist,dendritic_shunting,5f,local_mismatch,local,auto,0.0015,0.0015,0.10883333534002304,0.00463905525256207,0.10993333160877228,0.0061776492155439944,-2.3003671964009604,0.0009246578975682545
mnist,dendritic_shunting,5f,local_mismatch,local,auto,0.0008,0.0015,0.10883333534002304,0.00463905525256207,0.10993333160877228,0.0061776492155439944,-2.3003671964009604,0.0009246578975682545
mnist,dendritic_shunting,4f,local_mismatch,local,auto,0.003,0.0015,0.10625000049670537,0.004115520280883672,0.10676666349172592,0.008477225156228832,-2.2993146578470864,0.0013263721269369368
mnist,dendritic_shunting,4f,local_mismatch,local,auto,0.0015,0.0015,0.10625000049670537,0.004115520280883672,0.10676666349172592,0.008477225156228832,-2.2993146578470864,0.0013263721269369368
mnist,dendritic_shunting,4f,local_mismatch,local,auto,0.0008,0.0015,0.10625000049670537,0.004115520280883672,0.10676666349172592,0.008477225156228832,-2.2993146578470864,0.0013263721269369368
mnist,dendritic_shunting,4f,local_mismatch,backprop,auto,0.0015,0.0015,0.10533333321412404,0.004267937845200274,0.1041666641831398,0.008220909481007014,-2.299943208694458,0.001663536074419113
mnist,dendritic_shunting,4f,local_mismatch,backprop,auto,0.0008,0.0015,0.10533333321412404,0.004267937845200274,0.1041666641831398,0.008220909481007014,-2.299943208694458,0.001663536074419113
mnist,dendritic_shunting,4f,local_mismatch,backprop,auto,0.003,0.0015,0.10533333321412404,0.004267937845200274,0.1041666641831398,0.008220909481007014,-2.299943208694458,0.001663536074419113
mnist,dendritic_shunting,3f,local_mismatch,local,auto,0.0015,0.0015,0.10058333228031795,0.003416668623686512,0.09996666510899861,0.0036855577914473576,-2.299544175465902,0.0025105709174170258
mnist,dendritic_shunting,3f,local_mismatch,local,auto,0.0008,0.0015,0.10058333228031795,0.003416668623686512,0.09996666510899861,0.0036855577914473576,-2.299544175465902,0.0025105709174170258
mnist,dendritic_shunting,3f,local_mismatch,local,auto,0.003,0.0015,0.10058333228031795,0.003416668623686512,0.09996666510899861,0.0036855577914473576,-2.299544175465902,0.0025105709174170258
